WKT,INTERID,X_COORD,Y_COORD,POSTID,POSTDATE,TYPE,PENDING,RuleID
"POINT (-117.169175871719 32.7188104960165)","96164",6278953.17300000042,1842563.14400000009,adowling,2016-07-14,I,N,"10"
"POINT (-117.168275848193 32.7188140558833)","96168",6279230.00000000000,1842562.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.167388242048 32.7188151640922)","96170",6279503.00000000000,1842560.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.166487660078 32.7188191108497)","96172",6279780.00000000000,1842559.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.16560005386 32.71882020619)","96173",6280053.00000000000,1842557.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.164735233816 32.7188238746659)","96174",6280319.00000000000,1842556.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.163847684519 32.718830454003)","96175",6280592.00000000000,1842556.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.16293084675 32.7188344952312)","96176",6280874.00000000000,1842555.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.162027041724 32.7188411817875)","96177",6281152.00000000000,1842555.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.16111023217 32.7188479577867)","96178",6281434.00000000000,1842555.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.16018366918 32.7188547989472)","96179",6281719.00000000000,1842555.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.159292839781 32.718858621195)","96180",6281993.00000000000,1842554.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.158359746014 32.7188627482853)","96182",6282280.00000000000,1842553.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.157446187054 32.7188694731054)","96183",6282561.00000000000,1842553.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.156552106289 32.718873299478)","96184",6282836.00000000000,1842552.00000000000,fjessie,2016-06-03,I,N,"10"
"POINT (-117.155628765541 32.7188773342191)","96187",6283120.00000000000,1842551.00000000000,fjessie,2016-06-03,I,N,"10"
"POINT (-117.154724903075 32.7188784679074)","96188",6283398.00000000000,1842548.99900000007,fjessie,2016-06-03,I,N,"10"
"POINT (-117.153795003623 32.7188770400044)","96189",6283684.00000000000,1842545.99900000007,fjessie,2016-06-03,I,N,"10"
"POINT (-117.169165535546 32.717765741075)","96380",6278953.00100000016,1842183.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.16827794322 32.7177668556622)","96383",6279226.00000000000,1842181.00000000000,fjessie,2018-08-14,I,N,"10"
"POINT (-117.167383845509 32.7177680122496)","96385",6279501.00000000000,1842179.00000000000,fjessie,2018-08-14,I,N,"10"
"POINT (-117.166489747745 32.7177691596074)","96387",6279776.00000000000,1842176.99900000007,fjessie,2019-04-10,I,N,"10"
"POINT (-117.164727674753 32.7177822406996)","96388",6280318.00000000000,1842176.99900000007,fjessie,2019-04-10,I,N,"10"
"POINT (-117.162026045221 32.7178022478787)","96389",6281149.00000000000,1842176.99900000007,fjessie,2019-04-10,I,N,"10"
"POINT (-117.161099493294 32.7178090959188)","96390",6281434.00000000000,1842176.99900000007,fjessie,2019-04-10,I,N,"10"
"POINT (-117.165602152129 32.7177702577111)","96393",6280049.00000000000,1842175.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.160172884491 32.7178104431373)","96394",6281719.00000000000,1842175.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.163840021994 32.717777829515)","96395",6280591.00000000000,1842173.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.159282037294 32.7178115170023)","96396",6281993.00000000000,1842173.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.158352177378 32.7178128745104)","96398",6282279.00000000000,1842171.00099999993,fjessie,2019-04-17,I,N,"10"
"POINT (-117.157441852036 32.717816824301)","96401",6282559.00000000000,1842170.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.156541279825 32.7178206984339)","96403",6282836.00000000000,1842169.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.155619565824 32.7178174376705)","96404",6283119.48000000045,1842165.35000000009,fjessie,2019-04-17,I,N,"10"
"POINT (-117.154708864227 32.7178230548897)","96405",6283399.60099999979,1842164.96200000006,fjessie,2019-04-17,I,N,"10"
"POINT (-117.153807023912 32.717829771315)","96406",6283677.00000000000,1842165.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.149499308615 32.7178557659854)","96410",6285002.00000000000,1842163.00000000000,adowling,2015-09-15,I,N,"10"
"POINT (-117.148715770744 32.7178587293795)","96411",6285243.00100000016,1842162.00000000000,adowling,2015-09-15,I,N,"10"
"POINT (-117.148595484595 32.7178596058116)","96412",6285280.00000000000,1842162.00000000000,adowling,2015-09-15,I,N,"10"
"POINT (-117.168279952299 32.7167114105618)","96630",6279222.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.167379420468 32.716718112133)","96631",6279499.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.166488641555 32.7167247346553)","96632",6279773.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.165607615564 32.7167312783401)","96633",6280044.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.164723338423 32.716737839843)","96634",6280316.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163832559111 32.7167444431824)","96635",6280590.00000000000,1841797.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.162912520485 32.7167512566659)","96636",6280873.00000000000,1841797.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.162021712464 32.7167550986228)","96638",6281147.00000000000,1841796.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.161088669503 32.7167619946617)","96639",6281434.00000000000,1841796.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.1601653227 32.7167633150593)","96640",6281718.00000000000,1841794.00000000000,fjessie,2019-04-10,I,N,"10"
"POINT (-117.159271235065 32.7167644128375)","96641",6281993.00000000000,1841792.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.158347859887 32.716762971324)","96644",6282277.00000000000,1841789.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.1574342661 32.7167641994451)","96647",6282558.00000000000,1841787.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.156533676377 32.7167653252172)","96648",6282835.00000000000,1841785.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.149491957763 32.7168168821785)","96649",6285001.00000000000,1841785.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.150418468829 32.716807373054)","96650",6284716.00100000016,1841784.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.151972433987 32.7167932698616)","96651",6284238.00000000000,1841783.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.155613552257 32.7167638393375)","96652",6283118.00000000000,1841782.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.152872939596 32.716783932476)","96653",6283961.00000000000,1841782.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.148588088358 32.7168152253362)","96654",6285279.00000000000,1841782.00000000000,fjessie,2017-06-05,I,N,"10"
"POINT (-117.153792951154 32.7167744455768)","96655",6283678.00000000000,1841781.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.154706460469 32.7167649995101)","96656",6283397.00000000000,1841780.00000000000,fjessie,2019-04-17,I,N,"10"
"POINT (-117.151968552836 32.7164140035623)","96759",6284238.00000000000,1841645.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.152872305581 32.716404642406)","96761",6283960.00000000000,1841644.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.172990350563 32.7157087716049)","96855",6277769.98350000009,1841445.00000000000,fjessie,2018-08-14,I,N,"10"
"POINT (-117.171098112008 32.71571192401)","96856",6278352.00000000000,1841441.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.170064243043 32.7157141439692)","96858",6278670.00000000000,1841439.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.169166915196 32.7157153377343)","96859",6278946.00000000000,1841437.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.168279340267 32.7157164523557)","96861",6279219.00000000000,1841435.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.167372259402 32.715717702931)","96862",6279498.00000000000,1841432.99900000007,fjessie,2019-05-17,I,N,"10"
"POINT (-117.166491186417 32.7157187590696)","96864",6279769.00000000000,1841431.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.165610113383 32.7157198061658)","96866",6280040.00000000000,1841429.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.164716036401 32.7157209434138)","96867",6280315.00000000000,1841427.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163825153391 32.7157165534854)","96869",6280589.00000000000,1841423.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.162901732186 32.7157096494573)","96873",6280873.00000000000,1841418.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.161988060821 32.7157026664217)","96878",6281154.00100000016,1841413.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.161080894815 32.7156956285628)","96881",6281433.00100000016,1841408.00000000000,fjessie,2016-06-03,I,N,"10"
"POINT (-117.160157590813 32.7156996971827)","96882",6281717.00000000000,1841407.00000000000,fjessie,2016-06-03,I,N,"10"
"POINT (-117.159260319686 32.715706315482)","96883",6281993.00000000000,1841407.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.158340263221 32.7157103465537)","96884",6282276.00000000000,1841406.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.157429959622 32.7157142990045)","96885",6282556.00000000000,1841405.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.156522906924 32.7157182208414)","96886",6282835.00000000000,1841404.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.155606101194 32.7157222076215)","96887",6283117.00000000000,1841403.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.154699076544 32.715728864351)","96888",6283396.00000000000,1841403.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.153785521577 32.7157328110024)","96890",6283677.00000000000,1841401.99900000007,fjessie,2019-01-16,I,N,"10"
"POINT (-117.152868743724 32.7157395257407)","96891",6283959.00000000000,1841401.99900000007,fjessie,2019-01-16,I,N,"10"
"POINT (-117.151964941579 32.7157433930062)","96892",6284237.00000000000,1841401.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.150407687791 32.7157520232244)","96893",6284716.00100000016,1841400.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.149487633727 32.7157559909823)","96894",6284999.00000000000,1841399.00099999993,fjessie,2019-01-16,I,N,"10"
"POINT (-117.148577357281 32.7157626264021)","96895",6285279.00000000000,1841399.00099999993,fjessie,2017-06-05,I,N,"10"
"POINT (-117.171089760053 32.7146015857215)","97121",6278351.00000000000,1841037.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.170065599553 32.7145982362496)","97127",6278666.00000000000,1841033.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.164701548164 32.7146381359514)","97128",6280316.00000000000,1841033.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163813984026 32.7146392184383)","97131",6280589.00000000000,1841031.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.169171505317 32.7145966547452)","97132",6278941.00000000000,1841029.99900000007,fjessie,2019-05-17,I,N,"10"
"POINT (-117.165608389566 32.7146149185922)","97135",6280037.00000000000,1841027.00099999993,fjessie,2019-05-17,I,N,"10"
"POINT (-117.156515501763 32.7146820885688)","97136",6282834.00000000000,1841027.00099999993,fjessie,2019-01-16,I,N,"10"
"POINT (-117.1555954841 32.7146888474703)","97137",6283117.00000000000,1841027.00099999993,fjessie,2019-01-16,I,N,"10"
"POINT (-117.159252768917 32.7146591874074)","97139",6281992.00000000000,1841026.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.158336002647 32.7146659427844)","97140",6282274.00000000000,1841026.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.157425738127 32.7146726435089)","97141",6282554.00000000000,1841026.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.153778176772 32.7146994268714)","97142",6283676.00000000000,1841026.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.166489337222 32.714602875548)","97144",6279766.00000000000,1841025.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.161076519797 32.7146429799521)","97145",6281431.00000000000,1841025.00000000000,fjessie,2014-01-14,I,N,"10"
"POINT (-117.1601532552 32.7146497968437)","97146",6281714.99899999984,1841025.00000000000,fjessie,2014-01-14,I,N,"10"
"POINT (-117.151957589966 32.7147072577119)","97149",6284236.00000000000,1841024.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.150400329659 32.7147131395067)","97150",6284715.00000000000,1841022.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.14948028641 32.7147171044614)","97151",6284997.99899999984,1841021.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.150394883196 32.7141799680041)","97268",6284715.00000000000,1840828.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.149474845511 32.7141839329181)","97269",6284997.99899999984,1840827.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.163810396692 32.7139796014802)","97290",6280588.00000000000,1840791.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.171082413481 32.7135874380322)","97383",6278350.00000000000,1840668.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.169173847541 32.7135741893488)","97393",6278937.00000000000,1840657.99900000007,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163809829603 32.7136113047117)","97396",6280587.00000000000,1840657.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.161072454111 32.713620562742)","97399",6281429.00000000000,1840653.00000000000,fjessie,2014-01-14,I,N,"10"
"POINT (-117.160145917688 32.7136246553134)","97400",6281714.00000000000,1840652.00000000000,fjessie,2015-10-19,I,N,"10"
"POINT (-117.159242137521 32.7136285731571)","97402",6281992.00000000000,1840651.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.158328607806 32.7136325561833)","97405",6282272.99899999984,1840650.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.166488345352 32.7135694411489)","97407",6279763.00000000000,1840649.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.157418322413 32.7136365085719)","97408",6282553.00000000000,1840649.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.165604071448 32.7135732606627)","97409",6280035.00000000000,1840648.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.156508040189 32.7136404542181)","97410",6282833.00000000000,1840648.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.164690510824 32.7135745425325)","97412",6280316.00000000000,1840646.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.151950154157 32.7136628775277)","97417",6284235.00000000000,1840644.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.150389689465 32.713671531269)","97418",6284715.00000000000,1840643.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.149472904747 32.7136754724584)","97422",6284997.00000000000,1840642.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.148556147963 32.7136821551401)","97423",6285279.00000000000,1840642.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.150384158909 32.7131301148614)","97534",6284715.00000000000,1840446.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.172964448559 32.7125576184029)","97606",6277767.80124999955,1840298.43724999996,fjessie,2018-08-14,I,N,"10"
"POINT (-117.171074550142 32.7125238209383)","97612",6278349.00000000000,1840281.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.169175960463 32.7125297403117)","97614",6278933.00000000000,1840278.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.168288446242 32.7125336033006)","97616",6279206.00000000000,1840277.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.16738139816 32.7125348566912)","97617",6279485.00000000000,1840275.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.166487382081 32.7125387550824)","97618",6279760.00000000000,1840274.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.165603118517 32.7125425745892)","97619",6280032.00000000000,1840273.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.164676561866 32.7125439529178)","97620",6280317.00100000016,1840271.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163802054016 32.7125476871561)","97621",6280586.00000000000,1840270.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.1628787514 32.7125490278669)","97622",6280870.00000000000,1840268.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.156497299687 32.7125960982348)","97623",6282833.00000000000,1840268.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.173861519943 32.7124899457337)","97624",6277491.65600000042,1840276.25949999993,fjessie,2016-03-30,I,N,"10"
"POINT (-117.161965229786 32.7125530378534)","97625",6281151.00000000000,1840267.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.158324259257 32.7125799075831)","97626",6282271.00000000000,1840267.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.157414016278 32.7125866082206)","97627",6282551.00000000000,1840267.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.155580526429 32.7126000848243)","97628",6283115.00000000000,1840267.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.160134153391 32.712566556071)","97629",6281714.25800000038,1840266.99699999997,fjessie,2015-10-19,I,N,"10"
"POINT (-117.159231222881 32.7125704758899)","97630",6281992.00000000000,1840266.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.154670254826 32.7126040169063)","97631",6283395.00000000000,1840266.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.153763262191 32.7126106667531)","97632",6283674.00000000000,1840266.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.161067934013 32.7125541726946)","97633",6281427.00000000000,1840265.00000000000,fjessie,2015-10-19,I,N,"10"
"POINT (-117.152852990398 32.7126145854224)","97634",6283954.00000000000,1840265.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.151942718525 32.7126184973732)","97635",6284234.00000000000,1840264.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.150379021449 32.7126271747538)","97636",6284715.00000000000,1840263.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.149465498464 32.7126310921546)","97638",6284996.00000000000,1840262.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.148545445638 32.7126323018522)","97641",6285279.00000000000,1840260.00000000000,fjessie,2019-01-31,I,N,"10"
"POINT (-117.171057164267 32.7114822631253)","97835",6278351.00000000000,1839902.00000000000,rshort,2016-04-17,I,N,"10"
"POINT (-117.167389862296 32.7114738667881)","97841",6279479.00000000000,1839889.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.166505552302 32.7114721961598)","97844",6279751.00000000000,1839886.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.165598486539 32.7114706853868)","97845",6280030.00000000000,1839882.99900000007,fjessie,2019-05-17,I,N,"10"
"POINT (-117.164684862178 32.7114637250538)","97847",6280311.00000000000,1839878.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.163768101069 32.7114677725046)","97849",6280593.00000000000,1839877.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.159210442625 32.7115014573342)","97850",6281995.00000000000,1839877.00000000000,fjessie,2015-10-19,I,N,"10"
"POINT (-117.162857841527 32.7114717650161)","97851",6280873.00000000000,1839876.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.161947610336 32.7114784991132)","97852",6281153.00000000000,1839876.00000000000,fjessie,2016-03-30,I,N,"10"
"POINT (-117.161037375756 32.7114852265164)","97853",6281433.00100000016,1839876.00000000000,fjessie,2015-10-19,I,N,"10"
"POINT (-117.169177414147 32.7114220776069)","97857",6278929.00000000000,1839875.00000000000,fjessie,2019-05-17,I,N,"10"
"POINT (-117.160120620759 32.7114892468061)","97858",6281714.99899999984,1839875.00000000000,fjessie,2015-10-19,I,N,"10"
"POINT (-117.158309906693 32.7115025960756)","97859",6282272.00000000000,1839875.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.157393173181 32.7115093444437)","97860",6282554.00000000000,1839875.00000000000,fjessie,2019-01-16,I,N,"10"
"POINT (-117.156479662094 32.7115133137984)","97861",6282835.00000000000,1839874.00000000000,fjessie,2019-01-16,I,N,"10"
